NR	SENDER	ADDRESSEE	SENDER-ADDRESSEE_PAIRS	DATE	YEAR	LANGUAGE	GENDER_SENDER	GENDER_ADDRESSEE	GENDER_PAIR	CONNECTION_TYPE	GENERATION_SENDER	GENERATION_ADDRESSEE	SENDER_IS_OLDER	SENDER_OVER_40	ADDRESSEE_OVER_40	AGE_GAP_OVER_20	AGE_GAP	PAGE	LENGTH	TOKEN_ID	REL_TOKEN_POS	QUERY	LEFT	HIT	RIGHT
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.16_16	2.7	god	My Letter to Mrs Wenborn of Mayfield who before was the wife of Mr John Wilmshurst*	Godly	friend You may thinke me too bold in presuming to present these confused lines unto your view, which will but trouble you to read but more trouble to me to
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.91_91	15.37	god	having now this opportunity could not but acquaint you with that which I wish rather you had beene an eye witness of, even the death of my dearest friend under	God.	It is now .22. weekes ago she finished her course, she sickened first like an Ague, upon the 29" of October being Tuesday, on the wednesday she went out to
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.343_343	57.94	god	words ministered grace to the hearers, & she was perswaded she should dye on the Sabbath & that having done a weekes work she should enter into his rest yet	God	otherwise prevented & that Satan might take his last farewell of troubling her tooke occasion hereby to molest her but at length the Lord revealed himselfe to her more fully
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.429_429	72.47	god	Lord had now afflicted her with a sore mouth, which much troubled her to speake, about the latter end of the weeke we had good hope of her recovery, but	God	ordered it better for her gaine though for our losse, on the saterday night & Sabbath following she could take downe nothing but beere & suger with a feather &
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.554_554	93.58	god	you had acquaintance of her in her life, you are acquainted with a true relation of her death, that you may rejoyce with her & weepe with me, & that	God	to whom alone belong the issues of life & death helpe us to glorifie him in either of both conditions. So praieth Your poore friend lately robbed of his chiefest
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.203_203	34.29	lord	day being Sabbath she was very sicke, yet in the Afternoone she rose, but still continuing sicke, on the Monday as she lay, she read the .102. Psalme," for the	Lord	seemed to hide himselfe from her, but he did not forsake her over long, in that night hee revealed himselfe to her in a sweet manner, so that her bruised
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.255_255	43.07	lord	her in a sweet manner, so that her bruised bones leapt for joy, in the morning she revealed to us what a sweet night she had enjoyed, & how the	Lord	had let out him selfe to her from these words of the .36. Psalme 5.6.7.8.9. verses" and that now she had found by experience what we have yet but by
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.367_367	61.99	lord	should enter into his rest yet God otherwise prevented & that Satan might take his last farewell of troubling her tooke occasion hereby to molest her but at length the	Lord	revealed himselfe to her more fully then before, so that about the middle of the weeke she told us she was as full of joy as her heart could hold.
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.399_399	67.4	lord	himselfe to her more fully then before, so that about the middle of the weeke she told us she was as full of joy as her heart could hold. The	Lord	had now afflicted her with a sore mouth, which much troubled her to speake, about the latter end of the weeke we had good hope of her recovery, but God
j_1	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1639/40	1640	ENGLISH	MALE	FEMALE	"MALE", "FEMALE"	FRIEND	1600-1640	UNK	UNK	FALSE	UNK	UNK		23	592	j_1.514_514	86.82	lord	.20". day of November about .4. a clocke in the afternoone she sweetly yielded up her soule into her Fathers hands, catching up her hands together uttered these words Come	Lord	but what more could not be heard. Thus as you had acquaintance of her in her life, you are acquainted with a true relation of her death, that you may
