NR	SENDER	ADDRESSEE	SENDER-ADDRESSEE_PAIRS	DATE	YEAR	LANGUAGE	GENDER_SENDER	GENDER_ADDRESSEE	GENDER_PAIR	CONNECTION_TYPE	GENERATION_SENDER	GENERATION_ADDRESSEE	SENDER_IS_OLDER	SENDER_OVER_40	ADDRESSEE_OVER_40	AGE_GAP_OVER_20	AGE_GAP	PAGE	LENGTH	TOKEN_ID	REL_TOKEN_POS	QUERY	LEFT	HIT	RIGHT
m-d_2	UPTON & BATHURST	CHARLES MARESCOE	"UPTON & BATHURST", "CHARLES MARESCOE"	29 NOVEMBER 1667		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; AGENT	MULT	1633	MULT	MULT	UNK	UNK		221	681	m-d_2.28_28	4.11	god	‘Since the foregoeing wee have received yours of the 7/17th ultimo and this day wee have receaved the good newes of Capt. Boneal’s arrivall at Cadiz, for which	God	be praised. Wee have ordered the sending upp to this Citty all your goodes that come by him, and when they come to hand wee shall use our best endeavours
m-d_4	ANDREAS BERENBERG'S WIDOW	CHARLES MARESCOE	"ANDREAS BERENBERG'S WIDOW", "CHARLES MARESCOE"	15 FEBRUARY 1668		DUTCH	FEMALE	MALE	"FEMALE", "MALE"	BUSINESS; CLIENT	1604	1633	TRUE	UNK	UNK	TRUE	29	223	183	m-d_4.32_32	17.49	god	to your letter of the 31st of January, we are still awaiting the account and bill of lading of the 20 sacks of Aleppo galls which you have bought. May	God	bring them in safety! We understand from others, in a letter of January 24th, that the ship Virginia has arrived with a large amount of galls. We are surprised you
m-d_5	ANDREAS BERENBERG'S WIDOW	CHARLES MARESCOE	"ANDREAS BERENBERG'S WIDOW", "CHARLES MARESCOE"	(ii) 22 FEBRUARY 1668		ENGLISH	FEMALE	MALE	"FEMALE", "MALE"	BUSINESS; CLIENT	1604	1633	TRUE	UNK	UNK	TRUE	29	223	343	m-d_5.7_7	2.04	god	We write today, by the grace of	God,	on the 22nd of February, with yours of the 7th instant. With it we received the account of the 20 sacks of galls purchased and loaded in Marten Jansen Tiel.
m-d_5	ANDREAS BERENBERG'S WIDOW	CHARLES MARESCOE	"ANDREAS BERENBERG'S WIDOW", "CHARLES MARESCOE"	(ii) 22 FEBRUARY 1668		ENGLISH	FEMALE	MALE	"FEMALE", "MALE"	BUSINESS; CLIENT	1604	1633	TRUE	UNK	UNK	TRUE	29	223	343	m-d_5.49_49	14.29	god	With it we received the account of the 20 sacks of galls purchased and loaded in Marten Jansen Tiel. We have checked the account and agreed it with you. May	God	bring them in safety, The market is weak here and from others we have learned that these same goods can now be had for sss in [London], so in future
m-d_6	ABRAHAM MOMMA REENSTIERNA	CHARLES MARESCOE	"ABRAHAM MOMMA REENSTIERNA", "CHARLES MARESCOE"	5 FEBRUARY 1668		ENGLISH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	1623	1633	TRUE	UNK	UNK	FALSE	10	224	802	m-d_6.670_670	83.54	god	us have your detailed comments so that we can act accordingly. We have noted what you wrote about the kinds of iron which sell, and it is most instructive. With	God’s	help we will provide you with a large amount in the spring. As my brother Jacob will not be living here regularly but will be spending most of his time
m-d_7	DEBORA VAN RUYFF	CHARLES MARESCOE	"DEBORA VAN RUYFF", "CHARLES MARESCOE"	20 FEBRUARY 1668		DUTCH	FEMALE	MALE	"FEMALE", "MALE"	BUSINESS; PRINCIPAL	1616	1633	TRUE	UNK	UNK	FALSE	17	225	174	m-d_7.51_51	29.31	god	I have looked it over and recorded my agreement. I am now having a quantity of the same sort of iron forged, and also have other kinds in stock, of	which—God	willing —I shall send you a quantity next summer. Every year I have some 3/4-inch square iron forged, though it is not much, but I could send you what I
m-d_9	ROBERT OURSEL	CHARLES MARESCOE	"ROBERT OURSEL", "CHARLES MARESCOE"	28 MARCH 1668		FRENCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CORRESPONDENT	1634	1633	FALSE	UNK	UNK	FALSE	1	226	338	m-d_9.169_169	50.0	dieu	propos de consigner les marchandises qu’envoyerez comme pour le compte d’un amy de Hambourgh avecq lequel je tiendray correspondance soulz vostre couverte affin d’eviter que mes lettres ne fussent transferez.	Dieu	vueille nous donner une bonne paix; guerre advenant ne seroit que la ruine des pauvres marchandts. Plusieurs navires sont arrivés au bas de nostre riviere entre lesquels sont Thomas Frost
m-d_9	ROBERT OURSEL	CHARLES MARESCOE	"ROBERT OURSEL", "CHARLES MARESCOE"	28 MARCH 1668		FRENCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CORRESPONDENT	1634	1633	FALSE	UNK	UNK	FALSE	1	226	338	m-d_9.212_212	62.72	dieu	ruine des pauvres marchandts. Plusieurs navires sont arrivés au bas de nostre riviere entre lesquels sont Thomas Frost et William Atkinson, mais n’ay peu apprendre sy Pierre Dickson est du	nombre—Dieu	les amené tous a bon port. On attend grand nombre de sucres dans cette flotte ce quy en fait diminuer le prix. J’ay vendu ceux quy estoient chargé dans Batten
m-d_10	JOACHIM PÖTTER-LILLIENHOFF & HENRIK THUEN	CHARLES MARESCOE	"JOACHIM PÖTTER-LILLIENHOFF & HENRIK THUEN", "CHARLES MARESCOE"	29 FEBRUARY 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; PRINCIPAL	MULT	1633	MULT	MULT	UNK	UNK		227	191	m-d_10.44_44	23.04	lord	have heard nothing from you, hence the brevity of this. We are now daily expecting captains Hans Focken and Claus Simensen Schult from Hull with their cargoes of malt—may the	Lord	bring them in safety. We also await the invoices and the accounts of the timber cargo. We would be very glad if you could obtain from your King freedom for
m-d_12	EGIDIO RULAND	CHARLES MARESCOE	"EGIDIO RULAND", "CHARLES MARESCOE"	21 APRIL 1668		DUTCH	MALE	MALE	"MALE", "MALE"	BUSINESS; CLIENT	UNK	1633	UNK	UNK	UNK	UNK		228	383	m-d_12.72_72	18.8	lord	second endorsed copy has also been sent. You will know how to procure payment of the one and of the other. You have heard nothing of Capt. Carsten Pietersen—may the	Lord	protect him! He should be leaving some money with you; how much, I shall expect to hear, so that I can know how much to debit you. I see that
