Filename,File number,Page left,Page top,Page right,Page bottom,Line id,Line,Confidence,Average,Standard deviation,Line left,Line top,Line right,Line bottom
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_1,473,[96],96.0,0.0,83,836,132,861
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_2,[D],[77],77.0,0.0,83,964,128,1002
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_3,Markets and Merchants of the Late Seventeenth Century 559,"[96, 96, 96, 96, 96, 96, 94, 96, 96]",95.78,0.67,448,167,1405,205
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_4,by a greate quantity of rowle tobacco of that groath which currently sold heere in ships,"[96, 93, 92, 96, 93, 93, 86, 95, 93, 93, 96, 94, 93, 91, 95, 96]",93.44,2.53,171,232,1403,276
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_5,"loadings of 100 to 140 tunn, at about 6 piastres this quintall of 106 Ib. English, by which greate","[96, 96, 93, 95, 92, 85, 93, 93, 93, 92, 93, 93, 95, 96, 84, 95, 96, 93, 90]",92.79,3.36,171,274,1404,319
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_6,gaines are made soo may deserve your information and putting in execution for a small,"[93, 96, 96, 96, 97, 96, 96, 96, 97, 96, 96, 96, 96, 96, 94]",95.8,1.01,172,318,1405,361
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_7,"French ship to this port and to returne back with oyle, some Roome allum, which have","[96, 96, 96, 96, 96, 96, 92, 92, 96, 93, 92, 93, 92, 92, 96, 96]",94.38,1.93,172,361,1406,403
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_8,"certaine advice may doe well. Our proceed in the Providence’s oyle may please, if can git","[93, 97, 96, 96, 96, 96, 96, 93, 93, 90, 92, 96, 96, 96, 96, 61]",92.69,8.68,172,404,1407,445
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_9,"incurradge and any secure convayance, ready to send in soe much lead with some alsoe for","[89, 96, 96, 93, 93, 93, 96, 96, 96, 96, 96, 96, 96, 93, 91, 96]",94.5,2.22,172,445,1408,488
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_10,"your owne account, or another parcell of Swead iron, but must see to gitt the freight cheape,","[93, 93, 96, 96, 92, 91, 93, 91, 96, 96, 96, 88, 93, 92, 96, 96, 93]",93.59,2.4,172,489,1408,531
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_11,"otherwise please to keepe it by you at the disposeall of them that most assuredly are, your","[96, 96, 92, 92, 96, 96, 96, 96, 93, 81, 96, 96, 95, 95, 94, 94, 96]",94.12,3.67,173,531,1410,573
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_12,verry humble servants.’,"[96, 96, 95]",95.67,0.58,173,576,514,612
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_13,1 Copy of 13 December.,"[79, 95, 96, 96, 96]",92.4,7.5,208,637,504,668
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_14,19 Jan. 654,"[96, 65, 62]",74.33,18.82,1292,753,1414,794
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_15,27 Jan.,"[94, 94]",94.0,0.0,1290,792,1365,824
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_16,A. WOLTERS to JOHN GOSSELIN,"[96, 96, 92, 96, 96]",95.2,1.79,174,844,666,870
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_17,STOCKHOLM 27 DECEMBER 1679,"[96, 96, 96, 94]",95.5,1.0,174,876,1416,908
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_18,"I found myself honoured three days ago with your very welcome letter of the sth instant,","[95, 96, 95, 96, 93, 96, 96, 96, 96, 96, 95, 93, 92, 96, 95, 95]",95.06,1.29,175,958,1417,1002
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_19,"together with three bills of exchange totalling £400 drawn on Mr William Smitt, of which I","[93, 96, 93, 96, 95, 95, 95, 87, 96, 96, 96, 93, 92, 95, 95, 95]",94.25,2.32,175,1000,1418,1045
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_20,"have procured acceptance, and with God’s help I do not doubt I shall get due payment.","[96, 96, 96, 96, 93, 92, 96, 96, 96, 96, 96, 91, 96, 96, 96, 96]",95.25,1.65,175,1046,1394,1088
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_21,"You have now ordered that, if the money has been paid, I should lay it out this winter on","[96, 95, 96, 96, 96, 94, 94, 96, 95, 95, 96, 96, 96, 96, 96, 96, 96, 96, 96]",95.63,0.68,215,1088,1420,1129
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_22,"some good sorts of iron from reliable people. In reply, I must say in a friendly way that I","[96, 96, 96, 96, 96, 95, 93, 93, 96, 96, 91, 96, 96, 94, 94, 95, 96, 93, 82]",94.21,3.31,175,1129,1421,1174
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_23,cannot exactly follow your order for the reason that the money only falls due at the end of,"[96, 96, 96, 96, 96, 96, 96, 96, 96, 95, 96, 96, 93, 96, 95, 95, 96, 96]",95.67,0.77,175,1171,1427,1216
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_24,"January and February, and then there is no iron to be obtained; and if there is any to be","[96, 95, 95, 96, 96, 96, 96, 96, 93, 93, 96, 96, 96, 96, 96, 96, 89, 96, 96]",95.21,1.78,170,1214,1423,1259
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_25,"obtained now it must be by means of money—but that is not due yet. Now, for the space ofa","[96, 96, 96, 96, 96, 96, 96, 93, 90, 94, 94, 95, 96, 95, 96, 96, 96, 96, 85]",94.63,2.79,176,1258,1424,1302
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_26,"week or a fortnight, is a rest-period when those with money travel up-country to provide the","[95, 85, 85, 95, 90, 90, 92, 96, 96, 96, 96, 93, 92, 97, 96, 96]",93.12,3.88,176,1301,1425,1346
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_27,"works with everything they need, such as coal and ore which is used in the making of iron.","[96, 96, 96, 96, 96, 96, 96, 95, 95, 96, 96, 96, 96, 96, 96, 96, 95, 95]",95.78,0.43,176,1345,1426,1389
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_28,"However, as it is up to me to take care of your interests so that your money is not lying idle,","[96, 92, 92, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 95, 96, 96, 95, 95, 96, 96]",95.48,1.21,178,1387,1427,1431
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_29,"and in order that you should profit from the low price of iron, I sent to a person two days ago,","[96, 96, 96, 95, 95, 96, 96, 96, 96, 96, 96, 33, 33, 96, 96, 90, 90, 96, 96, 95, 95]",89.24,18.78,177,1432,1428,1474
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_30,"who was on the point of selling to another but gave me preference, and agreed with him for","[96, 95, 95, 96, 96, 95, 95, 96, 96, 96, 96, 97, 94, 94, 95, 96, 96, 97]",95.61,0.85,176,1473,1429,1518
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_31,"400 slb of iron, of which 200 slb will be ordinary sheet-iron, 100 slb broad, schampelion iron","[93, 92, 81, 81, 96, 96, 93, 92, 96, 96, 93, 87, 93, 89, 90, 90, 96]",91.41,4.76,176,1519,1430,1559
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_32,"and roo slb square iron, to deliver here in Stockholm with the first open water at 27 dollars","[96, 86, 92, 94, 94, 95, 95, 96, 97, 96, 96, 97, 96, 92, 92, 96, 96, 94]",94.44,2.66,176,1562,1431,1604
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_33,[per slb]. He takes over the bills of exchange and will discount them or negotiate them as best,"[93, 89, 96, 96, 94, 94, 95, 96, 96, 94, 96, 96, 96, 96, 96, 96, 96, 96]",95.06,1.8,179,1605,1432,1647
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_34,"he can, though I remain liable for any failure of payment.","[96, 96, 96, 96, 95, 96, 95, 96, 95, 96, 96]",95.73,0.47,177,1652,1010,1692
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_35,"The iron is of good material which has been always sent, year after year, to one Mr","[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",96.0,0.0,216,1694,1433,1735
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_36,Strodder! in England. The works once belonged to Utterclo? and its mark is ‘XX’ but the,"[89, 96, 96, 96, 96, 96, 97, 90, 90, 96, 95, 96, 95, 29, 96, 97]",90.62,16.64,178,1735,1433,1778
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_37,"works have now been sold to another and it is with him that I have contracted, and I am","[96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 94, 96, 96, 94, 95]",95.74,0.65,178,1780,1433,1814
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_38,"assured that we will be well treated. Mr Strodder, the English merchant, gave 30 dollars for","[96, 96, 96, 96, 96, 95, 96, 93, 90, 96, 96, 96, 96, 95, 94, 96]",95.19,1.64,178,1823,1435,1864
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_39,iron last year. There are 200 slb lying ready at the works which I can have immediately. But it,"[96, 96, 95, 95, 96, 93, 92, 96, 96, 96, 96, 96, 96, 96, 95, 96, 94, 77, 77]",93.37,5.88,178,1868,1436,1909
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_40,is a pity that you did not write how broad the schampelion should be. It has been ordered in,"[89, 89, 92, 96, 96, 96, 96, 96, 96, 96, 93, 92, 96, 96, 96, 96, 95, 96, 96]",94.63,2.41,178,1911,1436,1953
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_41,various breadths. Please let me know at once in answer to this so it can reach me in time.,"[93, 90, 96, 95, 95, 96, 96, 96, 95, 95, 96, 96, 96, 96, 95, 95, 96, 96, 96]",95.21,1.47,179,1955,1432,1987
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_42,"Thave no doubt that you will be well satisfied with this business, but orgronds iron was not","[88, 96, 92, 96, 96, 96, 95, 95, 95, 96, 97, 92, 93, 93, 94, 95, 96]",94.41,2.24,220,2000,1438,2040
IMG_2022_07_05_15_50_27R.jpg,559,0,0,1577,2757,line_1_43,"to be obtained. For the 400 slb at 27 dollars you owe me 10,800 dollars, against which we can","[96, 96, 70, 96, 96, 23, 90, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96]",90.47,17.42,180,2044,1439,2084
