SERIAL_NR,ID,TITLE,PAGE,SENDER_RAW,ADDRESSEE_RAW,SIGN-OFF,PLACE_OF_WRITING,DATELINE,FOOTNOTE,TEXT,EXCHANGE_RATE,CHAPTER,LANGUAGE,YEAR,DATE_OF_WRITING,DATE_OF_ARRIVAL,DATE_OF_REPLY,SALUTATION,N_WORDS,POSTSCRIPT,BILL
m-d_1,1,"THOMAS DEATH, EPHRAIM SKINNER & CO. to JD & CM",221,"THOMAS DEATH, EPHRAIM SKINNER & CO.",JD & CM,"Sirs, at your command &c. ",LEGHORN,LEGHORN 16 JANUARY 1668,"1 Leghorn lead prices are quoted in ducats per 1.000 lb.; tin and pepper in ducats per 100 lb. The ducat was
equal to 7 livres (of 20 soldi and 240 denari each); the dollar was equal to 6 livres.
2 The rate represents Leghorn dollars per 100 Venetian bank ducats.
3 I.e. 99 grooten flemish per 1 dollar. The rate on London, when cited, represents pence sterling per 1 dollar.","‘Wee writt you, Mr Lethieullier, the 6th instant in answer to yours of the 2nd past when
advised you have received bill ladeing for your 92 barrels tinn on the Bantam, since which is
come to hand yours of the goth past pressing the sale of your cocheneale wherein noe
endeavors are omitted, but this—as all other comodities—are soe downe the wind that
though we court to sell we cannot, yet hope we t’will not be long err some good effect may
come thereof, of which as oughtis effected we shall advise you, for now the exchange is rissen
to 56 1/2 twilbe good also remitting you its proceed wherein we shall then neither loose noe
tyme. Could we have had your cocheneale sooner from Genoa it might long err this have
binn sould but thence though there never wants conveyances, yet the bad weather in the
winter tyme makes them very tedious, and we waited some time too to see whether the
captain would comply with his obligation in bringing it hither, which since they doe but
what they please you would doe well in the future give your freinds caution if any direct
conveyances offer to imbrace them rather then for Genoa, though now we are in tymes of
peace we hope we shall have the lesse occasion of them and that our owne navigation wilbe
imployed from whome we find fairer dealeing. Lead that hath binn lately sould at D.23
p-mille (1) was againe rissen before the Mary imported 3 daies since with 700 pigs to D24 1/2.
Tinn offerd at D.15 and pepper rissen againe to D.29 with which latter comoditie & a parcell
of saltpeter now (upon apprehension of warr in Ittaly) much demanded after. A small vessell
to be dispatcht out before any other supplies can come then what the ships already expected
bring might, in ourjudgments, be a good designe, for the Dutch convoy that’s daily expected
departing 2 daies before the Mary from Allicant bring that we hear not any, and the vessell
(which in these tymes of peace you may doubtless have cheap) should you not incline to have
her returned home with Galipoly oyle at D.14 the salme or currance, there’s noe doubt but
shee may meete imployment heer to your advantage. The Red Hart for London departed
yesterday and the Supply following the Affrican goes at last for Galipoly, whome the Mary will also follow, and is what for present offers, Sirs, at your command &c.","Venice—103 1/2 (2), Amsterdam—99g.(3)”",A. LETTERS TO CHARLES MARESCOE,ENGLISH,1668,16 JANUARY 1668,30 Jan. 1668,1 Jun. 1668,,417,,
m-d_2,2,ANTHONY UPTON & CO. to CM,221,ANTHONY UPTON & CO.,CM,"and having not else wee crave leave to remain, &c.’",SEVILLE,SEVILLE 29 NOVEMBER 1667,"1 Vizt. Lille, captured by the French in 1667 and soon to be permanently ceded by the settlement at Aix la
Chapelle.","‘Since the foregoeing wee have received yours of the 7/17th ultimo and this day wee have
receaved the good newes of Capt. Boneal’s arrivall at Cadiz, for which God be praised. Wee
have ordered the sending upp to this Citty all your goodes that come by him, and when they
come to hand wee shall use our best endeavours to dispose of them to your best advantage;
and wee should bee glad it had layen in our power to have finished the account of your
former cargoe, before the arrival of these, but wee could not possibly putt of 50 pieces of your
yard-broades, which wee have still unsould, and some of your stockens. All the rest of your
former cargoe is disposed, though a good parte of the money is still oweing amongst our
shoppkeepers, but wee hope on the arrivall of the galleones shall recover the most part of it.
We hourely expect them, and it is thought, being they stay soe long, they have beene forced
to repaire theire shippes in the Indyes, which may have detained them some dayes more then
was expected. In the meanetime wee find noe comoditie, either of the groath of this countrey
or the Indies, that wee dare adventure upon for returnes at the prizes they now rule—
Indicoes being worth 7 1/2 to 8 R. pta. p. lb. putt aboard, and cuchenille 94 to 96 ducats [per
arroba]. The latter may yeild a small advance and besides wee looke upon it as a riseing
comoditie since there cann come noe more of it into Europe wee suppose in more than two
yeares, and we intend to send two bagges to your selfe and Mr Letheilleire by the first
merchant men, haveing excused to lade anything for youre account on the friggatts in regard
by your order to the contrary. They now give out will departe in all this weeke, and there is
noe merchantman that goes in theire company, bound for London, only a small Hamburger.
Wee know not what comodityes to advise you to send to this markett at present, since wee
conceive it will be overladen with most sortes of our English manufactoryes. What doth now
promise the best expence are cheneyes, mixt serges, some black and white hounscotts which
must be fine ware to cost about sos per piece; and when all the galleones come wee shall be
able to advise you our opinion what may be remitted against the despatch of another fleete
for the Indies, and according to the encouragement they have found in those partes wee may
guesse at the repute our goodes will have this next summer and what demand there will be to
them, as alsoe when another fleet may goe for the Indies, which according to what is at
present supposed there will bee one dispatched for New Spaine in June next, and the galleons
about September or October.

All the comodityes made in Lysle (1) are proclaimed for contrabando and all other that are
like them, except they come with testimonyes that they are made in the dominions of those
that are in amity with this Crowne. Soe, as such comodityes may be brought from England,
and those sortes will undoubtedly have good demand in these partes, wee had some dayes
past a few picotes made at Norwich which were here better liked then those made at Lysle,
but our friendes advised us they cost in England neare 40s per peece, and heere the flemmings
use to sell theire picotes, which contain 33 Spanish vares (which are 8 per cento lesse then
English yards) at 11 pieces of cight per peece, in this citty. Soc if those sortes cannot be made
in England to be afforded a little more or lesse as they have been from Flaunders there is noe
dealing in them, though indeed they are more substantiall. If you can gett them cheape and
finde encouragement to send any you need not question but they will have good expence;
and having not else wee crave leave to remain, &c.’",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1667,29 NOVEMBER 1667,3 Feb. 1668,2 Mar. 1668,,681,,
m-d_3,3,RICHARD CRUMPE  to CM,222,RICHARD CRUMPE,CM,"Yours to command, &c. ",BRISTOL,BRISTOL 7 MARCH 1668,"1 Although the signature looks like ‘Richard Crumper’ it would be in keeping with Marescoe’s usual choice of
leading figures as his out-port correspondents if this is Crumpe, a substantial Bristol merchant, knighted in 1681
(sheriff of Bristol in 1665-6, Mayor in 1677-8, Member of Parliament 1685-7). See P. McGrath (ed.) Merchants
and Merchandize in Seventeenth Century Bristol, Bristol Records Society XIX (Bristol, 1955) pp. 219, 220, 263.
2 The reference is possibly to Alderman Sir Thomas Alleyn of London.","‘Sir, Yours of the 3d instant received. In answer, Barbads sugars is now worth in parcell 27s.
per cwt., much havinge binn bought and shipt of for Hamborow. About tenn dayes since itt
was bought from 25 to 26s per cwt., att which price I sould a consederable parcell. Indegoe
little or none to bee had: its worth 4s 8d. Lead now £13 10s per tonn. Cotton woole 8d per
lb, Vergine tobacco in leafe to shipp of 6d per lb. if good. Sir, about two monthes since there
was a shipp from Barbads sunke in our river in which was much cotten and under water for
sume shortt time of which I have about 30 baggsall dreyed and if you please may see a sample
of it in Alderman Ellin’s house,(2) he havinge three bags of said cotten sent him since by Mr
Ballard, my parttner in the same, and if you please att 6d per lb. may have the whole quantyty or part. Yours to command, &c.

[P.S.] Advise how insurance runeth to and from Vergine and Barbads.’",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1668,7 MARCH 1668,9 Mar. 1668,14 Mar. 1668,,180,[P.S.] Advise how insurance runeth to and from Vergine and Barbads.’,
m-d_4,4,ANDREAS BERENBERG'S WIDOW & HEIRS to CM,223,ANDREAS BERENBERG'S WIDOW & HEIRS,CM,"A dio, &c.",HAMBURG,HAMBURG 15 FEBRUARY 1668,,"In answer to your letter of the 31st of January, we are still awaiting the account and bill of
lading of the 20 sacks of Aleppo galls which you have bought. May God bring them in safety!
We understand from others, in a letter of January 24th, that the ship Virginia has arrived with
a large amount of galls. We are surprised you made no mention of it. We shall be glad to learn
that you have bought and shipped the sacks of white Barbados cotton, and will be content if
you have not spent more than 84d per lb., free on board, for choice quality. If our commission
for indigo guatemalo came too late we must be patient. It has risen here from 11 1/2 to 12s [per
lb.]. Demand for silk is very slack and shows no sign of rising. Barbados sugars are too dear in
[London]. They must either fall there or rise here, otherwise there is nothing to be ordered. We shall be glad to hear what else is happening, for guidance in giving these commissions. A
dio, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1668,15 FEBRUARY 1668,(i) + (ii) 10 Mar. 1668,20 Mar. 1668,,183,,
m-d_5,5,ANDREAS BERENBERG'S WIDOW & HEIRS to CM,223,ANDREAS BERENBERG'S WIDOW & HEIRS,CM,"With cordial regards, &c. ",,,,"We write today, by the grace of God, on the 22nd of February, with yours of the 7th instant.
With it we received the account of the 20 sacks of galls purchased and loaded in Marten
Jansen Tiel. We have checked the account and agreed it with you. May God bring them in
safety, The market is weak here and from others we have learned that these same goods can
now be had for sss in [London], so in future they are likely to fall lower here. Meanwhile we
hope you have bought and shipped the 20 sacks of Barbados cotton. The greatest speed is
essential—also that the goods are clean and soft.

We hope you have procured payment of the £200 sterling which we remitted to you,
drawn on William Rivet. With that you can pay for the cotton you have bought.

Sugar is too dear in [London] and one can count on no profit in sending it here, so one
must wait for it to fall lower in [London] or rise higher here. One can easily get it here at 8¢
for lack of buyers. Silk is plentiful and cheap—Ardasse can be got for 17 1/2s.

We have accepted the bill of exchange for £170 drawn at 34s 1og, at double usance,
payable to Caspar Bruyn or order, and when it falls due it will be promptly paid. Meanwhile
we have debited it to your account.

Would you please find out, discreetly, if one could get 20.000 to 30.000 ox-horns in
[London]—and how much per thousand they would cost, with all charges, free on board,
and if one may export them wheresoever one wishes? Please give us reliable information about this and we will gladly serve you in return. With cordial regards, &c.

Carsten Steen has arrived here. Nothing is yet heard of Marten Jansen Tiel. Barbados sugar
no longer fetches even 8g here, choice quality being left without buyers. The highest it will
now make would be 7 1/2g, so one would make a loss by sending it from [London].","[London]: 34s
Amsterdam: 32 7/8st.",A. LETTERS TO CHARLES MARESCOE,ENGLISH,1668,(ii) 22 FEBRUARY 1668,,,,343,"Carsten Steen has arrived here. Nothing is yet heard of Marten Jansen Tiel. Barbados sugar
no longer fetches even 8g here, choice quality being left without buyers. The highest it will
now make would be 7 1/2g, so one would make a loss by sending it from [London].",
m-d_6,6,ABRAHAM MOMMA to CM,224,ABRAHAM MOMMA,CM,"Farewell, &c.",STOCKHOLM,STOCKHOLM 5 FEBRUARY 1668,,"The above, dated 4 January, is a copy of our last letter. We have since received yours of the
13th of December and 3rd of January and fully understand the contents, to which our answer
briefly follows.

Concerning the Tar Company’s bill of exchange, the matter will be settled as soon as Mr
Hendrick Thuen returns home. He is away at present and has been expected back for some
days. We have noted what has been happening in the sale of our goods and will await the
account thereof, It is good to see that Dirck Thyssen has delivered to you the 324 bars of iron
and the 20 barrels of steel on our account, and we also note the price at which you have sold
the steel, but we are not happy to learn that some of the barrels were of such short weight. We
will make enquiries here, as they were weighed at the works by our own people who have
express orders always to ensure that, including the barrels, they weigh net 120 lb. Danzig-
weight. We weigh it in this manner, as in Danzig, so that the barrels together with any excess
weight have been paid for. See if they weighed it in this way in [London], or have weighed
the steel only without the barrels, and please let me known for my future guidance. And as I
have the opportunity to send a good deal of such steel (having that privilege from His
Majesty) I beg you to let me know how large an amount you would be able to consume
yearly so that I can employ my works accordingly.

Inote that pitch and tar have fallen in price in [London]: I shall be glad to be kept informed
of further developments. I have also noted the money you have remitted to Mr Caspar
Bruyn, as well as the £20 you have paid to Mr Johan Simons. I shall be grateful if you would
help in every way, and if he should need another £20 or £30 please let him have it. Any
money which you may have due to us, please make over to Caspar Bruyn as he will need
some money on our account. I have already written to Mr Pelt Emanuels that he should place
the money which Capt. Fix paid to you to our account. I trust he had done so and will not be
writing to you about it any more as we have put his account right.

We long to hear that Capt. Coomen, who is sailing to [London] from Gotland, has arrived
safely and that his timber has found a good market. Our agent in Gotland tells us that it is
very fine timber, and doubtless with the rebuilding of London a great deal of wood will be
required. Please find out for us if some ships’ lading of such balks and deals would sell on
delivery and if one could get a good price for them, as we would gladly oblige. No one is in a
better position to do so as we can have all the timber which Gotland produces in our hands.
So please make inquiries and let us know what you think. We can have it cut to such lengths
and breadths as people want, and the deals also, but you must write to us with the
measurements—and please find out if we are free to send them in Dutch ships.

The 6 tuns of potash, which will be sent to you with the first available ship, are only an
experiment, and if we perceive any profit in it we will send a larger amount. It is the same
with the Gotland tar, which always costs more than Swedish tar. Do your best in all this as if
it were for yourself, and let us have your detailed comments so that we can act accordingly.
We have noted what you wrote about the kinds of iron which sell, and it is most instructive.
With God’s help we will provide you with a large amount in the spring.

As my brother Jacob will not be living here regularly but will be spending most of his time
at his brass-foundry in Norrköping, we have divided our trading, and what hitherto came
from here please regard as mine only, unless it is expressly stated to belong to someone else’s
account. You will likewise get directions from me about what has, and will, come from
Gotland, so from now on I will be writing to you in my own name and you can reply to me
likewise so we can settle matters with one another. However, what you have just remitted to
Amsterdam and have in your hands from here and Gotland is still in both our names.
Farewell, &c.",,A. LETTERS TO CHARLES MARESCOE,ENGLISH,1668,5 FEBRUARY 1668,16 Mar. 1668,27 Mar. 1668,,802,,
m-d_7,7,DEBORAH VAN RUYFF to CM,225,DEBORAH VAN RUYFF,CM,"With heartiest regards, &c. ",AXBERGSHAMER,AXBERGSHAMER 20 FEBRUARY 1668,,"I have received your letter of the 10th past with the sale-account of the iron which was sent
with Erick Peerson. I have looked it over and recorded my agreement.

I am now having a quantity of the same sort of iron forged, and also have other kinds in
stock, of which—God willing —I shall send you a quantity next summer. Every year I have
some 3/4-inch square iron forged, though it is not much, but I could send you what I have if
you would first tell me for how much more it can be sold than the other sorts. Here it always
fetches more than the other sorts.

Since you say that in [England] one usually sells for 6 months time I suppose I must put up
with it and rely on you to see that you always sell to good, reliable people.

As for the £310 which you have remitted to Pieter van der Mortel on account of the iron from Erick Peerson, I have credited you. With heartiest regards, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1668,20 FEBRUARY 1668,16 Mar. 1668,1 May 1668,,174,,
m-d_8,8,STEVEN DE GEER to CM,225,STEVEN DE GEER,CM,,AMSTERDAM,AMSTERDAM 23 MARCH 1668,"1 Carl Philip, son of Carl Gustaf Wrangel, Count Sylfnitzburg (1613-76), a famous Swedish soldier and
diplomatist, and his wife Anna Margreta von Haugwitz. The youth, ‘being for many years sickly and indisposed’
died on his visit to London during carly April 1668 —The Bulstrode Papers, I, 1667-1675 (Privately printed, 1897)
Pp. 35.
2 I.e., iron from the De Geer works at Österby and Gimo, shipped through Oregrund (hence “Orgrons’).","My last to you was about a week ago; since then I have received yours of the 6th instant.

As I wrote to you in my last letter, I shall not be sending any salt. I have made a note of the
£110 which you have paid to Mr Sleuyn, tutor to the young Count Wrangel.(1) If they send
to you, you could let them have another one or two hundred pounds.
They write to me from Sweden that all the Orgrons iron has been bought up, so all of it
will come here, and you can also expect all the ‘O’ and ‘G’ iron,(2) which means that it can be
held at a suitable price; for that reason I have expressly not wanted to sell it for delivery in
Sweden, in order that it can be kept in one hand and not undercut.

One should be able to insure from London to Guinea and back again for 14 to 15 per cent,
independently of any Dutchmen, because since most of that coast is now occupied by them
the insurers would raise difficulties about a ship trading to a place where it is not permitted to
go. It would run the risk of being seized, and if one made difficulties about putting in a
proviso they would guess what the intention was and insist on more than a doubled
premium.

Please Iet me know how things stand with the salvaged cannon-balls, for I have heard
nothing about them.

As the insurance to Guinea is not a normal one and as my usual insurance-broker is not
very suitable, he has not categorically agreed to it, it being his opinion that the objections
mentioned above will be insisted upon.

Please charge my account with £200 drawn at 2 usances and set it against your special
account. I will let you know the rate of exchange by my letter as I forgot to find out today.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1668,23 MARCH 1668,16 Mar. 1668,20 Mar. 1668,,323,,
m-d_9,9,ROBERT OURSEL to CM,226,ROBERT OURSEL,CM,"Sy en quelque chose je vous suis utile disposez librement de moy, car je suis, monsieur, &c.’",ROUEN,ROUEN 28 MARCH 1668,,"‘Ma derniere a voz graces estoit le 21 courant, dudepuis j’ay receu la vostre agreable du 12
ditto. Veu par icelle que pretendez m’envoyer quelque cottons filez. Vous en aurez veu le prix
par mes precedentes quy me semble estre tres bas, la demande estant petite en cette
marchandise. Les droits d’entrée sont 10 livres p.cent et viron 14 p.cent de perte sur le poix. Sy
resolvez d’en envoyer vostre advantage sera procuré comme sy c’estoit pour moy mesme.

Guerre advenant contre les Estats ou autre nations on tasche de mettre les amis a couvert le
mieux possible. Je ne puis croire neangmoints que nous ayons rupture avecq les Estats
d’Hollande, quoyque le bruit en soit grand dans le commun, toutefois on ne scait pas les
choses a venir. Pour prevenir le mal, il me semble qu’il seroit a propos de consigner les
marchandises qu’envoyerez comme pour le compte d’un amy de Hambourgh avecq lequel je
tiendray correspondance soulz vostre couverte affin d’eviter que mes lettres ne fussent
transferez. Dieu vueille nous donner une bonne paix; guerre advenant ne seroit que la ruine
des pauvres marchandts.

Plusieurs navires sont arrivés au bas de nostre riviere entre lesquels sont Thomas Frost et
William Atkinson, mais n’ay peu apprendre sy Pierre Dickson est du nombre—Dieu les
amené tous a bon port. On attend grand nombre de sucres dans cette flotte ce quy en fait
diminuer le prix. J’ay vendu ceux quy estoient chargé dans Batten a 33 livres le cent a 6 mois
auquel prix il n’y a point de profit car les droits sont excessif. Je ne croy pas pouvoir tant
obtenir pour les autres sy ce n’est qu’ils se trouvent plus belles. Le plomb diminuera aussy de
prix selon les aparances, car on en attend plus de 6 a 7000 pieces. Se vend presentement a 125 livres le millier et peu de demande. Estain 70 livres le cent, galles 42 livres. Sy en quelque
chose je vous suis utile disposez librement de moy, car je suis, monsieur, &c.’","[London]: 59d
Amsterdam: 103 2 usances.
Anvers: 101",A. LETTERS TO CHARLES MARESCOE,FRENCH,1668,28 MARCH 1668,24 Mar. 1668,26 Mar. 1668,,338,,
m-d_10,10,JOACHIM PÖTTER & HENDRIK THUEN to CM,227,JOACHIM PÖTTER & HENDRIK THUEN,CM,"With cordial regards, &c. ",STOCKHOLM,STOCKHOLM 29 FEBRUARY 1668,,"Our last letter to you was on the 26th of February. Since then we have heard nothing from
you, hence the brevity of this.

We are now daily expecting captains Hans Focken and Claus Simensen Schult from Hull
with their cargoes of malt—may the Lord bring them in safety. We also await the invoices
and the accounts of the timber cargo.

We would be very glad if you could obtain from your King freedom for two or three
Dutch ships to be allowed to come to [London] from Abo and Viborg with tar, for we are
unable to obtain other ships. We would then be able to provide you with a good quantity of
pitch and tar. Meanwhile, please let us know for how much these wares are selling so that we
can regulate ourselves accordingly. Whatever you may have to spend on obtaining this
freedom we will gladly make good, and look forward to your answer as soon as possible.

For the rest, we long to hear that the remainder of our iron and copper-wire has been sold and that the account can now be closed. With cordial regards, &c.",,A. LETTERS TO CHARLES MARESCOE,DUTCH,1668,29 FEBRUARY 1668,30 Mar. 1668,3 Apr. 1668,,191,,
