id	hit_freq	conf_freq	approve_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resign_freq	travel_freq	trade_freq	health_freq	politics_freq	social_freq	connection	sender	addressee	pair	year	decennium	quinquennial	sender_birth	addressee_birth_date	sender_generation	addressee_generation	sender_is_older	sender_over_40	addressee_over_40	age_gap_over_20	age_gap	gender_sender	gender_addressee	gender_pair
1	281.58	0.00	0.00	16.76	0.00	0.00	0.00	0.00	83.81	16.76	0.00	0.00	117.33	0.00	0.00	FRIEND	SAMUEL JEAKE SR	MRS WENBORN	"SAMUEL JEAKE SR", "MRS WENBORN"	1640	1640-1649	1640-1644	1623	UNK	1600-1640	UNK	UNK	FALSE	UNK	UNK		MALE	FEMALE	MALE-FEMALE
3	442.48	0.00	0.00	16.76	0.00	0.00	83.81	33.52	0.00	33.52	0.00	0.00	16.76	100.57	16.76	FRIEND	SAMUEL JEAKE SR	FRIENDS IN THE ARMY	"SAMUEL JEAKE SR", "FRIENDS IN THE ARMY"				1623	MULT	1600-1640	UNK	UNK	FALSE	MULT	UNK		MALE	MULT	MALE-MULT
11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	FRANCES JEAKE-HARTRIDGE	"SAMUEL JEAKE SR", "FRANCES JEAKE-HARTRIDGE"		1650-1659	1650-1654	1623	1630	1600-1640	1600-1640	TRUE	FALSE	FALSE	FALSE	7	MALE	FEMALE	MALE-FEMALE
12	1.69	0.00	0.00	0.00	0.00	0.00	1.73	1.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	FRANCES JEAKE-HARTRIDGE	SAMUEL JEAKE SR	"FRANCES JEAKE-HARTRIDGE", "SAMUEL JEAKE SR"	1651	1650-1659	1650-1654	1630	1623	1600-1640	1600-1640	FALSE	FALSE	FALSE	FALSE	7	FEMALE	MALE	FEMALE-MALE
13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	FRANCES JEAKE-HARTRIDGE	"SAMUEL JEAKE SR", "FRANCES JEAKE-HARTRIDGE"	1651	1650-1659	1650-1654	1623	1630	1600-1640	1600-1640	TRUE	FALSE	FALSE	FALSE	7	MALE	FEMALE	MALE-FEMALE
18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	FRANCES JEAKE-HARTRIDGE	SAMUEL JEAKE SR	"FRANCES JEAKE-HARTRIDGE", "SAMUEL JEAKE SR"	1651	1650-1659	1650-1654	1630	1623	1600-1640	1600-1640	FALSE	FALSE	FALSE	FALSE	7	FEMALE	MALE	FEMALE-MALE
20	10.11	1.73	0.00	5.19	1.73	1.73	0.00	0.00	0.00	0.00	0.00	0.00	3.46	1.73	3.46	FAMILY	FRANCES JEAKE-HARTRIDGE	CHRISTOPHER AND MARY HARTRIDGE	"FRANCES JEAKE-HARTRIDGE", "CHRISTOPHER AND MARY HARTRIDGE"		1650-1659	1650-1654	1630	MULT	1600-1640	1600-1640	MULT	FALSE	MULT	UNK		FEMALE	MULT	FEMALE-MULT
21	15.17	0.00	0.00	0.00	1.73	1.73	0.00	0.00	5.19	5.19	0.00	0.00	5.19	0.00	0.00	FAMILY	FRANCES JEAKE-HARTRIDGE	MARY HARTRIDGE	"FRANCES JEAKE-HARTRIDGE", "MARY HARTRIDGE"	1653	1650-1659	1650-1654	1630	UNK	1600-1640	1600-1640	UNK	FALSE	UNK	UNK		FEMALE	FEMALE	FEMALE-FEMALE
26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1668	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	FAMILY	SAMUEL JEAKE SR	SAMUEL JEAKE JR	"SAMUEL JEAKE SR", "SAMUEL JEAKE JR"	1668	1660-1669	1665-1669	1623	1652	1600-1640	1640-1680	TRUE	TRUE	FALSE	TRUE	29	MALE	MALE	MALE-MALE
