id	hit_freq	conf_freq	appr_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resignate_freq	trave_freq	trade_freq	health_freq	politics_freq	social_freq	pair	sender_over_40	addressee_over_40	sender_is_older	age_gap_over_20	gender_pair	connection
53	129.25	0.00	0.00	0.00	0.00	43.08	43.08	0.00	43.08	0.00	0.00	86.17	0.00	0.00	0.00	"CHRISTOPHER BLACKWOOD JR", "SAMUEL JEAKE JR"	FALSE	FALSE	TRUE	FALSE	MALE-MALE	FAMILY
54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"CHRISTOPHER BLACKWOOD JR", "SAMUEL JEAKE JR"	FALSE	FALSE	TRUE	FALSE	MALE-MALE	FAMILY
67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"CHRISTOPHER BLACKWOOD JR", "SAMUEL JEAKE JR"	FALSE	FALSE	TRUE	FALSE	MALE-MALE	FAMILY
71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"CHRISTOPHER BLACKWOOD JR", "SAMUEL JEAKE JR"	FALSE	FALSE	TRUE	FALSE	MALE-MALE	FAMILY
106	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"CHRISTOPHER BLACKWOOD JR", "SAMUEL JEAKE JR"	FALSE	FALSE	TRUE	FALSE	MALE-MALE	FAMILY
56	147.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	98.52	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	TRUE	FALSE	TRUE	TRUE	FEMALE-MALE	EXTENDED FAMILY
61	147.78	0.00	0.00	0.00	0.00	0.00	0.00	49.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	TRUE	FALSE	TRUE	TRUE	FEMALE-MALE	EXTENDED FAMILY
64	49.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	TRUE	FALSE	TRUE	TRUE	FEMALE-MALE	EXTENDED FAMILY
74	295.57	0.00	0.00	0.00	0.00	0.00	49.26	0.00	98.52	49.26	0.00	0.00	0.00	0.00	49.26	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	TRUE	FALSE	TRUE	TRUE	FEMALE-MALE	EXTENDED FAMILY
100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"ELIZABETH DIGHTON", "SAMUEL JEAKE JR"	TRUE	FALSE	TRUE	TRUE	FEMALE-MALE	EXTENDED FAMILY
