id	hit_freq	conf_freq	approve_freq	fixed_freq	object_freq	grat_freq	pray_freq	preserve_freq	presupp_freq	resign_freq	travel_freq	trade_freq	health_freq	politics_freq	social_freq	connection	sender	addressee	pair	year	quinquennial	decennium	sender_birth	addressee_birth_date	sender_generation	addressee_generation	sender_is_older	sender_over_40	addressee_over_40	age_gap_over_20	age_gap	gender_sender	gender_addressee	gender_pair
455	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	LOUIS TRIP	JD	"LOUIS TRIP", "JD"	1679	1675-1679	1670-1679	1654	1640	1640-1680	1640-1680	TRUE	TRUE	FALSE	TRUE	35	MALE	MALE	MALE-MALE
457	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	STEVEN DE GEER	JD	"STEVEN DE GEER", "JD"	1679	1675-1679	1670-1679	1629	1640	1600-1640	1640-1680	TRUE	TRUE	FALSE	FALSE	11	MALE	MALE	MALE-MALE
SB_185	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	WILLIAM SKINNER	LM & PJ	"WILLIAM SKINNER", "LM & PJ"	1672	1670-1674	1670-1679	UNK	MULT	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MULT	MALE-MULT
SB_186	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	LOUIS TRIP	LM & PJ	"LOUIS TRIP", "LM & PJ"	1672	1670-1674	1670-1679	1654	MULT	1640-1680	1600-1640	TRUE	TRUE	FALSE	TRUE		MALE	MULT	MALE-MULT
SB_M_10	1.63	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	JOACHIM PÖTTER-LILLIENHOFF & HENRIK THUEN	CM	"JOACHIM PÖTTER-LILLIENHOFF & HENRIK THUEN", "CM"	1668	1665-1669	1660-1669	MULT	1633	1600-1640	1600-1640	TRUE	MULT	FALSE	FALSE		MALE	MALE	MALE-MALE
SB_M_101	3.26	0.00	1.63	0.00	0.00	0.00	1.63	0.00	0.00	0.00	3.26	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	TAR COMPANY DIRECTORS	CM	"TAR COMPANY DIRECTORS", "CM"	1669	1665-1669	1660-1669	MULT	1633	1600-1640	1600-1640	MULT	MULT	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_102	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	JEAN & DAVID VAN BAERLE	CM	"JEAN & DAVID VAN BAERLE", "CM"	1669	1665-1669	1660-1669	MULT	1633	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_103	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	WILLIAM BROWNE	CM	"WILLIAM BROWNE", "CM"	1669	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_104	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	JOHAN ARNOLDT FONCK	CM	"JOHAN ARNOLDT FONCK", "CM"	1669	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_105	2.34	0.00	0.00	2.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.00	0.00	BUSINESS; AGENT	WILLIAM BROWNE	CM	"WILLIAM BROWNE", "CM"	1669	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_106	1.63	0.00	0.00	1.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	BUSINESS; PRINCIPAL	ABRAHAM MOMMA REENSTIERNA	CM	"ABRAHAM MOMMA REENSTIERNA", "CM"	1669	1665-1669	1660-1669	1623	1633	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	10	MALE	MALE	MALE-MALE
SB_M_109	1.63	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	ABRAHAM MOMMA REENSTIERNA	CM	"ABRAHAM MOMMA REENSTIERNA", "CM"	1669	1665-1669	1660-1669	1623	1633	1600-1640	1600-1640	TRUE	TRUE	FALSE	FALSE	10	MALE	MALE	MALE-MALE
SB_M_11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	JEAN & DAVID VAN BAERLE	CM	"JEAN & DAVID VAN BAERLE", "CM"	1668	1665-1669	1660-1669	MULT	1633	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_110	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	PETER CAULIER	CM	"PETER CAULIER", "CM"	1669	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; AGENT	JEAN & DAVID VAN BAERLE	CM	"JEAN & DAVID VAN BAERLE", "CM"	1669	1665-1669	1660-1669	MULT	1633	UNK	1600-1640	MULT	MULT	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_113	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CLIENT	PETER CAULIER	CM	"PETER CAULIER", "CM"	1669	1665-1669	1660-1669	UNK	1633	UNK	1600-1640	UNK	UNK	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_114	1.63	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	TAR COMPANY DIRECTORS	CM	"TAR COMPANY DIRECTORS", "CM"	1669	1665-1669	1660-1669	MULT	1633	1600-1640	1600-1640	MULT	MULT	FALSE	UNK		MALE	MALE	MALE-MALE
SB_M_115	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; PRINCIPAL	WILLEM MOMMA	CM	"WILLEM MOMMA", "CM"	1669	1665-1669	1660-1669	1601	1633	1600-1640	1600-1640	TRUE	TRUE	FALSE	TRUE	32	MALE	MALE	MALE-MALE
SB_M_117	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	BUSINESS; CORRESPONDENT	ROBERT OURSEL	CM	"ROBERT OURSEL", "CM"	1669	1665-1669	1660-1669	1634	1633	1600-1640	1600-1640	FALSE	FALSE	FALSE	FALSE	1	MALE	MALE	MALE-MALE
